gene,mean_effect,median_effect,n_samples_positive,n_samples_negative
AL121901.1,0.0,0.0,0,0
AL121902.1,0.0,0.0,0,0
AL121904.1,0.0,0.0,0,0
AL121904.2,0.0,0.0,0,0
AL121906.1,0.0,0.0,0,0
AL121908.1,0.0,0.0,0,0
AL121910.1,0.0,0.0,0,0
AL121917.2,0.0,0.0,0,0
AL121928.1,0.0,0.0,0,0
AL121929.1,0.0,0.0,0,0
AL121932.2,0.0,0.0,0,0
AL121935.1,0.0,0.0,0,0
AL121935.2,0.0,0.0,0,0
AL121935.3,0.0,0.0,0,0
AL121938.1,0.0,0.0,0,0
AL121956.1,0.0,0.0,0,0
AL121956.4,-0.000119039585,0.0,0,1
AL121956.6,0.0,0.0,0,0
AL121957.1,0.0,0.0,0,0
AL121970.1,0.0,0.0,0,0
AL121974.1,0.0,0.0,0,0
AL121977.2,0.0,0.0,0,0
AL121981.1,0.0,0.0,0,0
AL121985.1,-0.0001369285,0.0,0,1
AL121987.1,-0.00015224579,0.0,0,1
AL121987.2,-0.0002485762,0.0,0,1
AL121988.1,0.0,0.0,0,0
AL121989.1,0.0,0.0,0,0
AL121992.1,0.0,0.0,0,0
AL121992.3,0.0,0.0,0,0
AL121999.1,0.0,0.0,0,0
AL122003.2,0.0,0.0,0,0
AL122008.1,0.0,0.0,0,0
AL122008.3,0.0,0.0,0,0
AL122008.4,0.0,0.0,0,0
AL122010.1,0.0,0.0,0,0
AL122014.1,0.0,0.0,0,0
AL122018.2,0.0,0.0,0,0
AL122020.2,-0.0013225869,0.0,0,1
AL122034.1,0.0,0.0,0,0
AL122035.1,0.0,0.0,0,0
AL122035.2,-0.00052242697,0.0,0,1
AL122058.1,0.0,0.0,0,0
AL122125.1,0.0,0.0,0,0
AL132633.1,0.0,0.0,0,0
AL132639.3,0.0,0.0,0,0
AL132642.1,0.0,0.0,0,0
AL132655.1,0.0,0.0,0,0
AL132655.2,0.0,0.0,0,0
AL132655.3,0.0,0.0,0,0
AL132656.2,0.0,0.0,0,0
AL132656.3,-0.00010685574,0.0,0,1
AL132657.1,0.0,0.0,0,0
AL132657.2,0.0,0.0,0,0
AL132671.1,0.0,0.0,0,0
AL132708.1,0.0,0.0,0,0
AL132709.7,0.0,0.0,0,0
AL132711.1,0.0,0.0,0,0
AL132712.1,0.0,0.0,0,0
AL132712.2,-0.00015004129,0.0,0,1
AL132718.1,0.0,0.0,0,0
AL132719.1,0.0,0.0,0,0
AL132765.2,0.0,0.0,0,0
AL132775.1,0.0,0.0,0,0
AL132775.2,0.0,0.0,0,0
AL132780.1,-0.00041096812,0.0,0,1
AL132796.1,0.0,0.0,0,0
AL132796.2,0.0,0.0,0,0
AL132799.1,0.0,0.0,0,0
AL132800.1,-0.0003013323,0.0,0,1
AL132801.1,0.0,0.0,0,0
AL132819.1,0.0,0.0,0,0
AL132822.1,0.0,0.0,0,0
AL132855.1,0.0,0.0,0,0
AL132857.1,0.0,0.0,0,0
AL132875.2,0.0,0.0,0,0
AL132875.3,0.0,0.0,0,0
AL132981.1,0.0,0.0,0,0
AL132982.1,0.0,0.0,0,0
AL132986.1,0.0,0.0,0,0
AL132989.1,-0.00025356407,0.0,0,1
AL132989.2,0.0,0.0,0,0
AL132990.1,0.0,0.0,0,0
AL132996.1,0.0,0.0,0,0
AL133153.2,-7.813281e-05,0.0,0,1
AL133163.3,0.0,0.0,0,0
AL133166.1,0.0,0.0,0,0
AL133167.1,0.0,0.0,0,0
AL133215.1,0.0,0.0,0,0
AL133215.2,0.0,0.0,0,0
AL133215.3,0.0,0.0,0,0
AL133216.1,0.0,0.0,0,0
AL133227.1,0.0,0.0,0,0
AL133230.1,-9.301002e-05,0.0,0,1
AL133232.1,0.0,0.0,0,0
AL133240.1,0.0,0.0,0,0
AL133240.2,0.0,0.0,0,0
AL133243.1,0.0,0.0,0,0
AL133244.2,0.0,0.0,0,0
AL133245.1,-0.00040634637,0.0,0,1
AL133247.1,0.0,0.0,0,0
AL133255.1,0.0,0.0,0,0
AL133257.1,0.0,0.0,0,0
AL133259.1,0.0,0.0,0,0
AL133260.2,0.0,0.0,0,0
AL133268.2,0.0,0.0,0,0
AL133268.3,0.0,0.0,0,0
AL133268.4,0.0,0.0,0,0
AL133279.1,-6.724861e-05,0.0,0,1
AL133279.2,0.0,0.0,0,0
AL133279.3,0.0,0.0,0,0
AL133284.1,0.0,0.0,0,0
AL133297.1,0.0,0.0,0,0
AL133297.2,0.0,0.0,0,0
AL133299.1,0.0,0.0,0,0
AL133304.1,0.0,0.0,0,0
AL133304.2,0.0,0.0,0,0
AL133304.3,0.0,0.0,0,0
AL133313.1,0.0,0.0,0,0
AL133319.1,0.0,0.0,0,0
AL133320.2,0.0,0.0,0,0
AL133325.2,0.0,0.0,0,0
AL133325.3,0.0,0.0,0,0
AL133329.1,0.0,0.0,0,0
AL133330.1,-6.341841e-06,0.0,0,1
AL133330.2,0.0,0.0,0,0
AL133331.1,0.0,0.0,0,0
AL133334.1,0.0,0.0,0,0
AL133335.1,0.0,0.0,0,0
AL133335.2,0.0,0.0,0,0
AL133342.1,0.0,0.0,0,0
AL133343.1,0.0,0.0,0,0
AL133343.2,0.0,0.0,0,0
AL133346.1,0.0,0.0,0,0
AL133351.1,-0.00016176754,0.0,0,1
AL133351.2,0.0,0.0,0,0
AL133368.2,0.0,0.0,0,0
AL133370.1,0.0,0.0,0,0
AL133371.1,0.0,0.0,0,0
AL133371.3,0.0,0.0,0,0
AL133372.2,0.0,0.0,0,0
AL133372.3,0.0,0.0,0,0
AL133375.1,-0.00016469705,0.0,0,1
AL133383.1,0.0,0.0,0,0
AL133387.1,0.0,0.0,0,0
AL133387.2,0.0,0.0,0,0
AL133390.1,-0.0001158818,0.0,0,1
AL133395.1,0.0,0.0,0,0
AL133396.2,0.0,0.0,0,0
AL133405.1,0.0,0.0,0,0
AL133405.2,0.0,0.0,0,0
AL133406.2,0.0,0.0,0,0
AL133419.1,0.0,0.0,0,0
AL133444.1,0.0,0.0,0,0
AL133445.2,-0.00063872646,0.0,0,1
AL133445.3,0.0,0.0,0,0
AL133456.1,0.0,0.0,0,0
AL133457.1,0.0,0.0,0,0
AL133464.1,0.0,0.0,0,0
AL133465.1,0.0,0.0,0,0
AL133467.2,0.0,0.0,0,0
AL133467.4,0.0,0.0,0,0
AL133475.1,0.0,0.0,0,0
AL133476.1,0.0,0.0,0,0
AL133477.3,0.0,0.0,0,0
AL133480.1,0.0,0.0,0,0
AL133481.1,0.0,0.0,0,0
AL133481.3,0.0,0.0,0,0
AL133482.1,0.0,0.0,0,0
AL133485.3,-5.8556514e-05,0.0,0,1
AL133492.1,0.0,0.0,0,0
AL133493.1,0.0,0.0,0,0
AL133493.2,0.0,0.0,0,0
AL133499.1,0.0,0.0,0,0
AL133516.1,0.0,0.0,0,0
AL133520.1,0.0,0.0,0,0
AL133538.1,0.0,0.0,0,0
AL133551.1,-0.013788202,0.0,0,2
AL133553.1,0.0,0.0,0,0
AL133553.2,0.0,0.0,0,0
AL135744.1,0.0,0.0,0,0
AL135746.1,0.0,0.0,0,0
AL135784.1,0.0,0.0,0,0
AL135785.1,0.0,0.0,0,0
AL135786.2,0.0,0.0,0,0
AL135787.1,0.0,0.0,0,0
AL135790.1,0.0,0.0,0,0
AL135818.1,0.0,0.0,0,0
AL135818.2,0.0,0.0,0,0
AL135818.3,0.0,0.0,0,0
AL135838.1,-0.003370303,0.0,0,2
AL135841.1,0.0,0.0,0,0
AL135878.1,0.0,0.0,0,0
AL135902.1,0.0,0.0,0,0
AL135902.2,0.0,0.0,0,0
AL135905.1,-0.00016049777,0.0,0,1
AL135908.1,0.0,0.0,0,0
AL135910.1,0.0,0.0,0,0
AL135923.1,0.0,0.0,0,0
AL135923.2,0.0,0.0,0,0
AL135924.2,0.0,0.0,0,0
AL135926.2,0.0,0.0,0,0
AL135934.1,0.0,0.0,0,0
AL135936.1,0.0,0.0,0,0
AL135937.1,0.0,0.0,0,0
AL135960.1,0.0,0.0,0,0
AL135978.2,-7.0371076e-05,0.0,0,1
AL135999.2,0.0,0.0,0,0
AL135999.3,0.0,0.0,0,0
AL136018.1,0.0,0.0,0,0
AL136040.2,0.0,0.0,0,0
AL136084.2,0.0,0.0,0,0
AL136084.3,0.0,0.0,0,0
AL136090.1,0.0,0.0,0,0
AL136090.2,0.0,0.0,0,0
AL136096.1,0.0,0.0,0,0
AL136097.2,0.0,0.0,0,0
AL136099.1,0.0,0.0,0,0
AL136102.1,0.0,0.0,0,0
AL136114.1,0.0,0.0,0,0
AL136115.1,0.0,0.0,0,0
AL136115.2,-0.0077541503,0.0,0,2
AL136115.3,0.0,0.0,0,0
AL136119.1,0.0,0.0,0,0
AL136129.1,0.0,0.0,0,0
AL136131.2,0.0,0.0,0,0
AL136131.3,-0.00019995814,0.0,0,1
AL136140.1,0.0,0.0,0,0
AL136141.1,0.0,0.0,0,0
AL136146.2,0.0,0.0,0,0
AL136164.1,0.0,0.0,0,0
AL136172.1,0.0,0.0,0,0
AL136181.1,0.0,0.0,0,0
AL136221.1,0.0,0.0,0,0
AL136225.1,0.0,0.0,0,0
AL136234.1,0.0,0.0,0,0
AL136295.6,0.0,0.0,0,0
AL136298.1,0.0,0.0,0,0
AL136305.1,0.0,0.0,0,0
AL136307.1,0.0,0.0,0,0
AL136309.2,0.0,0.0,0,0
AL136309.3,0.0,0.0,0,0
AL136309.4,0.0,0.0,0,0
AL136317.2,0.0,0.0,0,0
AL136320.1,0.0,0.0,0,0
AL136322.1,0.0,0.0,0,0
AL136359.1,0.0,0.0,0,0
AL136360.2,0.0,0.0,0,0
AL136361.1,0.0,0.0,0,0
AL136366.1,-9.074089e-05,0.0,0,1
AL136369.1,0.0,0.0,0,0
AL136369.2,0.0,0.0,0,0
AL136372.2,0.0,0.0,0,0
AL136376.1,-0.00022478186,0.0,0,1
AL136379.1,0.0,0.0,0,0
AL136418.1,0.0,0.0,0,0
AL136419.2,0.0,0.0,0,0
AL136439.1,0.0,0.0,0,0
AL136442.1,0.0,0.0,0,0
AL136456.1,0.0,0.0,0,0
AL136460.1,0.0,0.0,0,0
AL136501.1,0.0,0.0,0,0
AL136524.1,0.0,0.0,0,0
AL136526.1,0.0,0.0,0,0
AL136528.1,0.0,0.0,0,0
AL136528.2,0.0,0.0,0,0
AL136537.1,0.0,0.0,0,0
AL136964.1,0.0,0.0,0,0
AL136972.1,0.0,0.0,0,0
AL136979.1,0.0,0.0,0,0
AL136980.1,0.0,0.0,0,0
AL136981.3,0.0,0.0,0,0
AL136982.2,0.0,0.0,0,0
AL136982.3,0.0,0.0,0,0
AL136982.7,0.0,0.0,0,0
AL136984.1,0.0,0.0,0,0
AL136985.1,0.0,0.0,0,0
AL136985.2,0.0,0.0,0,0
AL136988.1,-0.00016548892,0.0,0,1
AL136988.2,0.0,0.0,0,0
AL137001.1,0.0,0.0,0,0
AL137001.2,0.0,0.0,0,0
AL137002.1,0.0,0.0,0,0
AL137002.2,0.0,0.0,0,0
AL137005.1,0.0,0.0,0,0
AL137009.1,0.0,0.0,0,0
AL137017.1,0.0,0.0,0,0
AL137018.1,0.0,0.0,0,0
AL137024.1,0.0,0.0,0,0
AL137025.1,0.0,0.0,0,0
AL137026.1,-9.1019865e-05,0.0,0,1
AL137026.2,0.0,0.0,0,0
AL137026.3,0.0,0.0,0,0
AL137027.1,0.0,0.0,0,0
AL137067.3,0.0,0.0,0,0
AL137071.1,0.0,0.0,0,0
AL137076.1,0.0,0.0,0,0
AL137078.1,0.0,0.0,0,0
AL137078.2,0.0,0.0,0,0
AL137100.3,-0.00032015378,0.0,0,1
AL137139.2,0.0,0.0,0,0
AL137140.1,0.0,0.0,0,0
AL137157.1,0.0,0.0,0,0
AL137182.1,0.0,0.0,0,0
AL137186.1,-0.00017658276,0.0,0,1
AL137191.1,0.0,0.0,0,0
AL137220.1,0.0,0.0,0,0
AL137224.1,0.0,0.0,0,0
AL137230.1,-0.00028919207,0.0,0,1
AL137244.1,0.0,0.0,0,0
AL137246.1,0.0,0.0,0,0
AL137246.2,0.0,0.0,0,0
AL137779.1,0.0,0.0,0,0
AL137779.2,-0.0006439792,0.0,0,1
AL137781.1,0.0,0.0,0,0
AL137785.1,0.0,0.0,0,0
AL137786.1,-0.00013769954,0.0,0,1
AL137786.2,0.0,0.0,0,0
AL137786.3,0.0,0.0,0,0
AL137789.1,0.0,0.0,0,0
AL137789.2,0.0,0.0,0,0
AL137796.1,0.0,0.0,0,0
AL137798.1,0.0,0.0,0,0
AL137798.2,0.0,0.0,0,0
AL137800.1,0.0,0.0,0,0
AL137802.1,-0.00825789,0.0,0,1
AL137804.1,0.0,0.0,0,0
AL137847.1,-0.00028574315,0.0,0,1
AL137847.2,0.0,0.0,0,0
AL137856.1,-9.12181e-05,0.0,0,1
AL137857.1,-0.0010735624,0.0,0,1
AL138478.1,0.0,0.0,0,0
AL138479.2,0.0,0.0,0,0
AL138686.1,0.0,0.0,0,0
AL138689.1,0.0,0.0,0,0
AL138689.2,0.0,0.0,0,0
AL138690.1,0.0,0.0,0,0
AL138694.1,-0.00014689744,0.0,0,1
AL138701.2,0.0,0.0,0,0
AL138708.1,0.0,0.0,0,0
AL138716.1,0.0,0.0,0,0
AL138720.1,0.0,0.0,0,0
AL138731.1,0.0,0.0,0,0
AL138733.1,0.0,0.0,0,0
AL138733.2,0.0,0.0,0,0
AL138740.1,0.0,0.0,0,0
AL138749.1,0.0,0.0,0,0
AL138759.1,0.0,0.0,0,0
AL138760.1,0.0,0.0,0,0
AL138762.1,-0.0040645762,0.0,0,1
AL138767.1,0.0,0.0,0,0
AL138767.2,0.0,0.0,0,0
AL138773.1,0.0,0.0,0,0
AL138778.1,0.0,0.0,0,0
AL138781.1,0.0,0.0,0,0
AL138787.2,0.0,0.0,0,0
AL138789.1,0.0,0.0,0,0
AL138799.2,0.0,0.0,0,0
AL138799.4,0.0,0.0,0,0
AL138808.1,0.0,0.0,0,0
AL138812.1,0.0,0.0,0,0
AL138820.1,0.0,0.0,0,0
AL138824.1,0.0,0.0,0,0
AL138826.1,0.0,0.0,0,0
AL138828.1,-7.375157e-05,0.0,0,1
AL138830.1,0.0,0.0,0,0
AL138830.2,0.0,0.0,0,0
AL138831.2,-0.00021306601,0.0,0,1
AL138885.2,0.0,0.0,0,0
AL138885.3,0.0,0.0,0,0
AL138889.1,0.0,0.0,0,0
AL138889.3,0.0,0.0,0,0
AL138899.3,0.0,0.0,0,0
AL138900.1,0.0,0.0,0,0
AL138916.1,0.0,0.0,0,0
AL138916.2,0.0,0.0,0,0
AL138918.1,0.0,0.0,0,0
AL138921.1,-0.00012935966,0.0,0,1
AL138921.2,0.0,0.0,0,0
AL138927.1,0.0,0.0,0,0
AL138930.1,0.0,0.0,0,0
AL138954.1,0.0,0.0,0,0
AL138957.1,0.0,0.0,0,0
AL138960.1,0.0,0.0,0,0
AL138962.1,0.0,0.0,0,0
AL138963.1,-0.0002537962,0.0,0,1
AL138966.2,0.0,0.0,0,0
AL138997.1,0.0,0.0,0,0
AL138999.1,0.0,0.0,0,0
AL138999.2,0.0,0.0,0,0
AL139002.1,0.0,0.0,0,0
AL139008.2,0.0,0.0,0,0
AL139011.1,-0.00041522188,0.0,0,1
AL139020.1,0.0,0.0,0,0
AL139021.1,0.0,0.0,0,0
AL139021.2,0.0,0.0,0,0
AL139022.1,0.0,0.0,0,0
AL139022.2,0.0,0.0,0,0
AL139023.1,0.0,0.0,0,0
AL139035.1,0.0,0.0,0,0
AL139035.2,0.0,0.0,0,0
AL139039.3,-0.0001328129,0.0,0,1
AL139041.1,-0.00010375174,0.0,0,1
AL139042.1,0.0,0.0,0,0
AL139081.1,0.0,0.0,0,0
AL139081.2,0.0,0.0,0,0
AL139082.1,0.0,0.0,0,0
AL139089.1,-0.001162379,0.0,0,1
AL139090.1,0.0,0.0,0,0
AL139095.4,-0.00035710237,0.0,0,1
AL139095.5,-0.000108666485,0.0,0,1
AL139099.1,-0.0003457137,0.0,0,1
AL139099.2,0.0,0.0,0,0
AL139106.1,0.0,0.0,0,0
AL139118.1,0.0,0.0,0,0
AL139120.1,0.0,0.0,0,0
AL139123.1,0.0,0.0,0,0
AL139124.1,0.0,0.0,0,0
AL139130.1,0.0,0.0,0,0
AL139142.1,0.0,0.0,0,0
AL139147.1,-1.3656216e-05,0.0,0,1
AL139161.1,0.0,0.0,0,0
AL139193.1,0.0,0.0,0,0
AL139193.2,0.0,0.0,0,0
AL139220.2,-0.00038515066,0.0,0,1
AL139230.1,0.0,0.0,0,0
AL139231.1,0.0,0.0,0,0
AL139232.1,0.0,0.0,0,0
AL139234.1,-0.0019182224,0.0,0,2
AL139237.1,0.0,0.0,0,0
AL139240.1,0.0,0.0,0,0
AL139241.1,0.0,0.0,0,0
AL139246.1,0.0,0.0,0,0
AL139246.3,-0.00018657114,0.0,0,1
AL139246.4,0.0,0.0,0,0
AL139254.1,0.0,0.0,0,0
AL139254.2,0.0,0.0,0,0
AL139254.3,0.0,0.0,0,0
AL139274.2,-0.00092939805,0.0,0,1
AL139275.1,0.0,0.0,0,0
AL139275.2,0.0,0.0,0,0
AL139280.1,0.0,0.0,0,0
AL139280.2,0.0,0.0,0,0
AL139286.2,0.0,0.0,0,0
AL139286.3,0.0,0.0,0,0
AL139287.1,-0.0057932157,0.0,0,1
AL139288.1,0.0,0.0,0,0
AL139289.1,0.0,0.0,0,0
AL139289.3,0.0,0.0,0,0
AL139294.1,0.0,0.0,0,0
AL139300.2,0.0,0.0,0,0
AL139316.1,0.0,0.0,0,0
AL139317.1,0.0,0.0,0,0
AL139327.2,0.0,0.0,0,0
AL139330.1,0.0,0.0,0,0
AL139339.1,0.0,0.0,0,0
AL139340.1,0.0,0.0,0,0
AL139348.1,0.0,0.0,0,0
AL139349.1,0.0,0.0,0,0
AL139350.1,0.0,0.0,0,0
AL139351.1,0.0,0.0,0,0
AL139353.2,-0.00011802575,0.0,0,1
AL139354.1,0.0,0.0,0,0
AL139379.1,0.0,0.0,0,0
AL139381.1,0.0,0.0,0,0
AL139383.1,-0.00021308172,0.0,0,1
AL139384.2,0.0,0.0,0,0
AL139385.1,0.0,0.0,0,0
AL139390.1,0.0,0.0,0,0
AL139393.1,0.0,0.0,0,0
AL139393.2,0.0,0.0,0,0
AL139393.3,0.0,0.0,0,0
AL139397.1,0.0,0.0,0,0
AL139398.1,-0.00019432361,0.0,0,1
AL139405.1,0.0,0.0,0,0
AL139420.1,0.0,0.0,0,0
AL139420.2,0.0,0.0,0,0
AL139423.1,-0.00022134435,0.0,0,1
AL139423.2,0.0,0.0,0,0
AL139424.1,0.0,0.0,0,0
AL139424.3,0.0,0.0,0,0
AL139801.1,0.0,0.0,0,0
AL139807.1,0.0,0.0,0,0
AL139811.3,0.0,0.0,0,0
AL139815.1,0.0,0.0,0,0
AL139823.1,0.0,0.0,0,0
AL139824.1,0.0,0.0,0,0
AL157359.1,0.0,0.0,0,0
AL157359.2,0.0,0.0,0,0
AL157369.1,0.0,0.0,0,0
AL157371.1,0.0,0.0,0,0
AL157371.2,0.0,0.0,0,0
AL157373.1,0.0,0.0,0,0
AL157373.2,0.0,0.0,0,0
AL157378.1,0.0,0.0,0,0
AL157385.2,0.0,0.0,0,0
AL157387.1,0.0,0.0,0,0
AL157392.1,0.0,0.0,0,0
AL157392.2,0.0,0.0,0,0
AL157392.4,0.0,0.0,0,0
AL157394.1,0.0,0.0,0,0
AL157395.1,-0.00028551786,0.0,0,1
AL157396.1,0.0,0.0,0,0
AL157400.1,0.0,0.0,0,0
AL157400.2,0.0,0.0,0,0
AL157400.3,-0.0025790452,0.0,0,1
AL157400.4,0.0,0.0,0,0
AL157402.1,0.0,0.0,0,0
AL157413.1,0.0,0.0,0,0
AL157414.1,0.0,0.0,0,0
AL157414.2,0.0,0.0,0,0
AL157414.4,0.0,0.0,0,0
AL157688.1,0.0,0.0,0,0
AL157702.2,0.0,0.0,0,0
AL157703.1,0.0,0.0,0,0
AL157709.1,0.0,0.0,0,0
AL157756.1,-0.00029950877,0.0,0,1
AL157762.1,0.0,0.0,0,0
AL157769.1,0.0,0.0,0,0
AL157778.1,0.0,0.0,0,0
AL157786.1,0.0,0.0,0,0
AL157813.1,-0.014525556,0.0,0,2
AL157817.1,0.0,0.0,0,0
AL157823.2,0.0,0.0,0,0
AL157827.2,0.0,0.0,0,0
AL157829.1,0.0,0.0,0,0
AL157831.2,0.0,0.0,0,0
AL157831.3,0.0,0.0,0,0
AL157832.1,0.0,0.0,0,0
AL157832.2,0.0,0.0,0,0
AL157834.2,0.0,0.0,0,0
AL157838.1,0.0,0.0,0,0
AL157871.1,0.0,0.0,0,0
AL157871.2,0.0,0.0,0,0
AL157871.4,0.0,0.0,0,0
AL157871.5,0.0,0.0,0,0
AL157871.6,0.0,0.0,0,0
AL157882.1,0.0,0.0,0,0
AL157884.2,0.0,0.0,0,0
AL157886.1,0.0,0.0,0,0
AL157888.1,0.0,0.0,0,0
AL157895.1,-0.00015091884,0.0,0,1
AL157896.1,0.0,0.0,0,0
AL157902.1,0.0,0.0,0,0
AL157904.1,0.0,0.0,0,0
AL157911.1,0.0,0.0,0,0
AL157912.1,0.0,0.0,0,0
AL157931.1,0.0,0.0,0,0
AL157931.2,0.0,0.0,0,0
AL157932.1,0.0,0.0,0,0
AL157935.1,0.0,0.0,0,0
AL157936.1,0.0,0.0,0,0
AL157937.1,0.0,0.0,0,0
AL157938.2,0.0,0.0,0,0
AL157938.3,-0.0002279281,0.0,0,1
AL157938.4,0.0,0.0,0,0
AL157944.1,0.0,0.0,0,0
AL157955.1,-0.00013959287,0.0,0,1
AL157996.2,0.0,0.0,0,0
AL157997.1,0.0,0.0,0,0
AL158011.1,0.0,0.0,0,0
AL158013.1,0.0,0.0,0,0
AL158038.1,0.0,0.0,0,0
AL158042.1,0.0,0.0,0,0
AL158055.1,0.0,0.0,0,0
AL158058.1,0.0,0.0,0,0
AL158058.2,0.0,0.0,0,0
AL158063.1,0.0,0.0,0,0
AL158064.1,0.0,0.0,0,0
AL158065.1,0.0,0.0,0,0
AL158068.2,0.0,0.0,0,0
AL158069.1,0.0,0.0,0,0
AL158070.1,-0.0004548925,0.0,0,1
AL158071.1,0.0,0.0,0,0
AL158071.4,-0.00040748983,0.0,0,1
AL158071.5,0.0,0.0,0,0
AL158077.2,0.0,0.0,0,0
AL158090.1,0.0,0.0,0,0
AL158136.1,0.0,0.0,0,0
AL158141.1,0.0,0.0,0,0
AL158147.1,0.0,0.0,0,0
AL158151.1,0.0,0.0,0,0
AL158151.2,0.0,0.0,0,0
AL158154.2,0.0,0.0,0,0
AL158154.3,0.0,0.0,0,0
AL158166.1,-0.00034647062,0.0,0,1
AL158166.2,0.0,0.0,0,0
AL158167.1,0.0,0.0,0,0
AL158168.1,0.0,0.0,0,0
AL158175.1,0.0,0.0,0,0
AL158195.1,0.0,0.0,0,0
AL158196.1,0.0,0.0,0,0
AL158198.1,0.0,0.0,0,0
AL158207.2,0.0,0.0,0,0
AL158211.1,0.0,0.0,0,0
AL158211.2,0.0,0.0,0,0
AL158211.3,0.0,0.0,0,0
AL158211.4,0.0,0.0,0,0
AL158212.1,0.0,0.0,0,0
AL158212.2,-6.727843e-05,0.0,0,1
AL158212.5,0.0,0.0,0,0
AL158214.2,-0.00036517996,0.0,0,1
AL158216.1,0.0,0.0,0,0
AL158800.1,0.0,0.0,0,0
AL158801.2,-0.0016511478,0.0,0,2
AL158801.3,0.0,0.0,0,0
AL158817.1,0.0,0.0,0,0
AL158825.2,0.0,0.0,0,0
AL158828.1,0.0,0.0,0,0
AL158829.1,0.0,0.0,0,0
AL158832.1,0.0,0.0,0,0
AL158832.2,-0.0010407589,0.0,0,1
AL158834.2,0.0,0.0,0,0
AL158835.1,0.0,0.0,0,0
AL158837.1,0.0,0.0,0,0
AL158839.1,0.0,0.0,0,0
AL158840.1,0.0,0.0,0,0
AL158847.1,0.0,0.0,0,0
AL159156.1,0.0,0.0,0,0
AL159158.1,-0.00011135143,0.0,0,1
AL159166.1,0.0,0.0,0,0
AL159169.3,0.0,0.0,0,0
AL159174.1,0.0,0.0,0,0
AL159972.1,0.0,0.0,0,0
AL159978.1,0.0,0.0,0,0
AL159990.1,0.0,0.0,0,0
AL159990.2,0.0,0.0,0,0
AL160004.1,0.0,0.0,0,0
AL160035.1,0.0,0.0,0,0
AL160153.1,0.0,0.0,0,0
AL160154.1,0.0,0.0,0,0
AL160159.1,0.0,0.0,0,0
AL160163.1,0.0,0.0,0,0
AL160191.1,0.0,0.0,0,0
AL160237.1,0.0,0.0,0,0
AL160254.1,0.0,0.0,0,0
AL160262.1,0.0,0.0,0,0
AL160269.1,0.0,0.0,0,0
AL160270.1,0.0,0.0,0,0
AL160271.2,0.0,0.0,0,0
AL160286.2,0.0,0.0,0,0
AL160286.3,0.0,0.0,0,0
AL160290.1,0.0,0.0,0,0
AL160291.1,-0.00010684618,0.0,0,1
AL160313.1,-0.00017523748,0.0,0,1
AL160313.2,0.0,0.0,0,0
AL160314.2,-0.00021638116,0.0,0,1
AL160391.1,0.0,0.0,0,0
AL160396.1,0.0,0.0,0,0
AL160396.2,0.0,0.0,0,0
AL160400.1,0.0,0.0,0,0
AL160408.1,0.0,0.0,0,0
AL160408.3,0.0,0.0,0,0
AL160408.4,0.0,0.0,0,0
AL160408.5,0.0,0.0,0,0
AL160408.6,0.0,0.0,0,0
AL160410.1,0.0,0.0,0,0
AL160411.1,0.0,0.0,0,0
AL160412.1,0.0,0.0,0,0
AL160413.1,0.0,0.0,0,0
AL161430.1,0.0,0.0,0,0
AL161431.1,0.0,0.0,0,0
AL161443.1,0.0,0.0,0,0
AL161447.2,0.0,0.0,0,0
AL161449.2,0.0,0.0,0,0
AL161452.1,0.0,0.0,0,0
AL161457.1,0.0,0.0,0,0
AL161616.2,0.0,0.0,0,0
AL161618.1,0.0,0.0,0,0
AL161628.1,0.0,0.0,0,0
AL161629.1,0.0,0.0,0,0
AL161630.1,0.0,0.0,0,0
AL161636.1,0.0,0.0,0,0
AL161638.1,0.0,0.0,0,0
AL161638.2,0.0,0.0,0,0
AL161640.1,0.0,0.0,0,0
AL161640.2,0.0,0.0,0,0
AL161640.3,0.0,0.0,0,0
AL161644.1,0.0,0.0,0,0
AL161645.1,0.0,0.0,0,0
AL161645.2,0.0,0.0,0,0
AL161646.1,0.0,0.0,0,0
AL161652.1,0.0,0.0,0,0
AL161662.1,0.0,0.0,0,0
AL161663.1,0.0,0.0,0,0
AL161663.2,0.0,0.0,0,0
AL161665.1,-7.834235e-05,0.0,0,1
AL161665.2,-0.00018652233,0.0,0,1
AL161668.1,0.0,0.0,0,0
AL161668.2,0.0,0.0,0,0
AL161668.3,-0.011229392,0.0,0,2
AL161668.4,0.0,0.0,0,0
AL161669.1,0.0,0.0,0,0
AL161669.3,0.0,0.0,0,0
AL161714.1,0.0,0.0,0,0
AL161716.1,0.0,0.0,0,0
AL161719.1,0.0,0.0,0,0
AL161725.2,0.0,0.0,0,0
AL161729.1,0.0,0.0,0,0
AL161729.2,0.0,0.0,0,0
AL161729.3,0.0,0.0,0,0
AL161729.4,0.0,0.0,0,0
AL161731.1,0.0,0.0,0,0
AL161733.1,0.0,0.0,0,0
AL161734.1,0.0,0.0,0,0
AL161734.2,0.0,0.0,0,0
AL161740.1,0.0,0.0,0,0
AL161747.2,0.0,0.0,0,0
AL161752.1,0.0,0.0,0,0
AL161753.1,0.0,0.0,0,0
AL161756.1,0.0,0.0,0,0
AL161757.2,0.0,0.0,0,0
AL161757.3,0.0,0.0,0,0
AL161757.4,0.0,0.0,0,0
AL161757.5,0.0,0.0,0,0
AL161772.1,-0.00027061068,0.0,0,1
